exchange,symbol,company,volume,price,change
NYSE,SQ,Square Cl A,76050840,41.02,-7.84
NYSE,GE,General Electric,69655871,18.12,-0.07
NYSE,BAC,Bank of America,40507653,26.59,0.00
NYSE,TEVA,Teva Pharmaceutical Industries ADR,37465751,14.65,1.03
NYSE,F,Ford Motor,25431253,12.11,0.01
NYSE,WFT,Weatherford International,25291828,3.24,-0.24
NYSE,T,AT&T,24849030,34.68,-0.13
NYSE,24457931,Time Inc. (TIME),18.50,1.60,9.47
NYSE,AKS,AK Steel Holding,20746672,4.71,-0.17
NYSE,SNAP,Snap,19271011,13.06,0.09
NYSE,JCP,J.C. Penney,18392767,3.35,0.09
NYSE,QD,Qudian ADR,18227234,13.51,1.29
NYSE,CHK,Chesapeake Energy,17834791,3.81,-0.11
NYSE,TWTR,Twitter,17281654,21.82,-0.60
NYSE,VZ,Verizon Communications,17031641,47.66,0.65
NYSE,M,Macy's,16072384,21.21,0.14
NYSE,VALE,Vale ADR,15064472,10.91,-0.07
NYSE,RAD,Rite Aid,14785655,1.63,-0.01
NYSE,BABA,Alibaba Group Holding ADR,14763515,188.03,-3.16
NYSE,JMEI,Jumei International Holding ADR,13781935,3.30,0.38
NYSE,HPQ,HP,13397078,21.25,0.01
NYSE,HPE,Hewlett Packard Enterprise,13313475,13.47,0.15
NYSE,CTL,CenturyLink,12986187,13.62,-0.22
NYSE,ESV,ENSCO,12176186,5.31,-0.19
NYSE,ABEV,Ambev ADR,12019067,6.36,-0.02
NYSE,ORCL,Oracle,11934161,48.88,-0.13
NYSE,KMI,Kinder Morgan,11898124,16.96,-0.23
NYSE,C,Citigroup,11219286,71.39,-0.63
NYSE,MRO,Marathon Oil,11060302,14.48,-0.65
NYSE,PBR,Petroleo Brasileiro ADR,10640688,10.12,-0.20
NYSE,LC,LendingClub,10541613,4.22,-0.04
NYSE,FCX,Freeport-McMoRan,10304607,14.09,-0.26
NYSE,JPM,JPMorgan Chase,10165600,97.93,-0.39
NYSE,OAS,Oasis Petroleum,10066000,9.44,-0.62
NYSE,PFE,Pfizer,9836637,35.49,0.00
NYSE,MRK,Merck&Co,9804005,54.55,0.20
NYSE,WFC,Wells Fargo,9764129,53.95,-0.14
NYSE,SWN,Southwestern Energy,9622325,6.17,0.00
NYSE,VRX,Valeant Pharmaceuticals International,9449354,16.48,-0.09
NYSE,TNK,Teekay Tankers,9259533,1.70,0.10
NYSE,NOK,Nokia ADR,9232803,5.01,-0.07
NYSE,NWL,Newell Brands,9144287,29.79,1.42
NYSE,CPN,Calpine,9106025,15.02,0.00
NYSE,RIG,Transocean,9005454,9.87,-0.20
NYSE,VIPS,Vipshop Holdings ADR,8912279,8.02,-0.12
NYSE,KR,Kroger,8909436,23.18,0.20
NYSE,ABX,Barrick Gold,8893278,14.25,0.15
NYSE,KGC,Kinross Gold,8890462,4.30,0.08
NYSE,P,Pandora Media,8663957,5.31,0.05
NYSE,WMT,Wal-Mart Stores,8592363,96.62,0.00
NYSE,KEY,KeyCorp,8383419,18.01,-0.02
NYSE,GGP,GGP,8234126,23.24,-0.11
NYSE,IPG,Interpublic Group,8198074,18.58,-0.15
NYSE,XOM,Exxon Mobil,8137614,81.11,-0.31
NYSE,CUDA,Barracuda Networks,8112234,27.59,3.90
NYSE,CLF,Cleveland-Cliffs,8074326,6.38,-0.23
NYSE,GM,General Motors,7989847,44.17,-0.29
NYSE,TSM,Taiwan Semiconductor Manufacturing ADR,7941267,41.09,-1.90
NYSE,TGT,Target,7900302,55.84,-0.04
NYSE,WMB,Williams,7853531,27.98,-0.09
NYSE,S,Sprint,7779694,6.15,0.00
NYSE,NE,Noble,7757508,3.96,-0.09
NYSE,NBR,Nabors Industries,7757457,5.59,-0.15
NYSE,RF,Regions Financial,7701399,15.52,-0.05
NYSE,NKE,Nike Cl B,7617153,59.63,0.31
NYSE,VER,VEREIT,7503682,8.04,-0.02
NYSE,ETP,Energy Transfer Partners,7480975,16.04,-0.32
NYSE,KIM,Kimco Realty,7342253,18.19,-0.61
NYSE,CNX,CONSOL Energy,6790301,16.00,-0.25
NYSE,WLL,Whiting Petroleum,6696015,22.43,-1.16
NYSE,X,United States Steel,6642287,28.80,-0.41
NYSE,SLB,Schlumberger,6580838,61.36,-0.57
NYSE,GPS,Gap,6548938,30.00,0.36
NYSE,LOW,Lowe's,6400164,79.83,0.59
NYSE,RYB,RYB Education ADR,6378014,18.00,1.55
NYSE,IBN,ICICI Bank ADR,6358358,9.68,-0.11
NYSE,ECA,Encana,6336191,11.40,-0.44
NYSE,AEO,American Eagle Outfitters,6211412,15.09,0.26
